# h / Lmax	F_rep (kT / Lmax^2)	F_att (kT / Lmax^2)	F_plate (kT / Lmax^2)"))
0.05	5.991465	-7.543885	-1.55242
0.1	4.60517	-6.86237	-2.2572
0.15	3.79424	-6.465794	-2.671554
0.2	3.218876	-6.185592	-2.966716
0.25	2.772589	-5.969028	-3.19644
0.3	2.407946	-5.792648	-3.384702
0.35	2.099644	-5.643953	-3.544309
0.4	1.832581	-5.515494	-3.682913
0.45	1.597015	-5.402469	-3.805454
0.5	1.386294	-5.301604	-3.91531
0.55	1.195674	-5.210565	-4.014891
0.6	1.021651	-5.12763	-4.105979
0.65	0.8615658	-5.051493	-4.189927
0.7	0.7133499	-4.981139	-4.26779
0.75	0.5753641	-4.915766	-4.340401
0.8	0.4462871	-4.854724	-4.408437
0.85	0.3250379	-4.797486	-4.472448
0.9	0.210721	-4.743612	-4.532891
0.95	0.1025866	-4.692738	-4.590151
1	0	-4.644551	-4.644551
1.05	0	-4.596443	-4.596443
1.1	0	-4.545819	-4.545819
1.15	0	-4.492401	-4.492401
1.2	0	-4.435857	-4.435857
1.25	0	-4.375796	-4.375796
1.3	0	-4.311746	-4.311746
1.35	0	-4.243133	-4.243133
1.4	0	-4.16925	-4.16925
1.45	0	-4.089208	-4.089208
1.5	0	-4.001873	-4.001873
1.55	0	-3.905761	-3.905761
1.6	0	-3.798881	-3.798881
1.65	0	-3.678472	-3.678472
1.7	0	-3.540538	-3.540538
1.75	0	-3.378981	-3.378981
1.8	0	-3.183785	-3.183785
1.85	0	-2.936681	-2.936681
1.9	0	-2.5983	-2.5983
1.95	0	-2.052151	-2.052151
2	0	0	0
