# h / Lmax	F_rep (kT / Lmax^2)	F_att (kT / Lmax^2)	F_plate (kT / Lmax^2)"))
0.05	5.991465	-0.1869489	5.804516
0.1	4.60517	-0.1028656	4.502305
0.15	3.79424	-0.06906706	3.725173
0.2	3.218876	-0.05342064	3.165455
0.25	2.772589	-0.04343163	2.729157
0.3	2.407946	-0.03647038	2.371475
0.35	2.099644	-0.03203744	2.067607
0.4	1.832581	-0.0281416	1.80444
0.45	1.597015	-0.02521496	1.5718
0.5	1.386294	-0.02251616	1.363778
0.55	1.195674	-0.02023366	1.17544
0.6	1.021651	-0.01850015	1.003151
0.65	0.8615658	-0.01697512	0.8445907
0.7	0.7133499	-0.01562104	0.6977288
0.75	0.5753641	-0.01454446	0.5608197
0.8	0.4462871	-0.01364108	0.432646
0.85	0.3250379	-0.01284959	0.3121883
0.9	0.210721	-0.01208464	0.1986364
0.95	0.1025866	-0.01154188	0.09104471
1	0	-0.01095781	-0.01095781
1.05	0	-0.01045166	-0.01045166
1.1	0	-0.009933291	-0.009933291
1.15	0	-0.009462283	-0.009462283
1.2	0	-0.008816508	-0.008816508
1.25	0	-0.00827132	-0.00827132
1.3	0	-0.007731478	-0.007731478
1.35	0	-0.007213718	-0.007213718
1.4	0	-0.006691631	-0.006691631
1.45	0	-0.006090263	-0.006090263
1.5	0	-0.005428083	-0.005428083
1.55	0	-0.004789977	-0.004789977
1.6	0	-0.004311575	-0.004311575
1.65	0	-0.003710506	-0.003710506
1.7	0	-0.00316706	-0.00316706
1.75	0	-0.002569714	-0.002569714
1.8	0	-0.001961118	-0.001961118
1.85	0	-0.001471162	-0.001471162
1.9	0	-0.001018875	-0.001018875
1.95	0	-0.0004857123	-0.0004857123
2	0	0	0
