# h / Lmax	F_rep (kT / Lmax^2)	F_att (kT / Lmax^2)	F_plate (kT / Lmax^2)"))
0.05	5.991465	-17.34692	-11.35545
0.1	4.60517	-16.66136	-12.05619
0.15	3.79424	-16.23695	-12.44271
0.2	3.218876	-15.95831	-12.73943
0.25	2.772589	-15.7455	-12.97291
0.3	2.407946	-15.56616	-13.15821
0.35	2.099644	-15.42915	-13.32951
0.4	1.832581	-15.30216	-13.46957
0.45	1.597015	-15.18895	-13.59194
0.5	1.386294	-15.07892	-13.69263
0.55	1.195674	-14.96877	-13.7731
0.6	1.021651	-14.88178	-13.86012
0.65	0.8615658	-14.79668	-13.93512
0.7	0.7133499	-14.71361	-14.00026
0.75	0.5753641	-14.62795	-14.05258
0.8	0.4462871	-14.55553	-14.10924
0.85	0.3250379	-14.49121	-14.16617
0.9	0.210721	-14.41243	-14.2017
0.95	0.1025866	-14.35489	-14.2523
1	0	-14.27227	-14.27227
1.05	0	-14.18465	-14.18465
1.1	0	-14.12688	-14.12688
1.15	0	-14.04636	-14.04636
1.2	0	-13.93781	-13.93781
1.25	0	-13.84631	-13.84631
1.3	0	-13.78291	-13.78291
1.35	0	-13.59963	-13.59963
1.4	0	-13.4506	-13.4506
1.45	0	-13.26813	-13.26813
1.5	0	-13.02688	-13.02688
1.55	0	-12.76921	-12.76921
1.6	0	-12.43853	-12.43853
1.65	0	-12.00553	-12.00553
1.7	0	-11.64725	-11.64725
1.75	0	-11.16261	-11.16261
1.8	0	-9.906855	-9.906855
1.85	0	-8.850605	-8.850605
1.9	0	-7.724602	-7.724602
1.95	0	-5.087597	-5.087597
2	0	0	0
