# h / Lmax	F_rep (kT / Lmax^2)	F_att (kT / Lmax^2)	F_plate (kT / Lmax^2)"))
0.05	5.991465	-17.51515	-11.52368
0.1	4.60517	-16.82223	-12.21706
0.15	3.79424	-16.4169	-12.62266
0.2	3.218876	-16.12932	-12.91045
0.25	2.772589	-15.90626	-13.13368
0.3	2.407946	-15.72401	-13.31607
0.35	2.099644	-15.56992	-13.47028
0.4	1.832581	-15.43684	-13.60426
0.45	1.597015	-15.31913	-13.72211
0.5	1.386294	-15.21382	-13.82753
0.55	1.195674	-15.11856	-13.92288
0.6	1.021651	-15.03158	-14.00993
0.65	0.8615658	-14.95157	-14.09
0.7	0.7133499	-14.87748	-14.16413
0.75	0.5753641	-14.80851	-14.23315
0.8	0.4462871	-14.74399	-14.2977
0.85	0.3250379	-14.68338	-14.35834
0.9	0.210721	-14.62624	-14.41552
0.95	0.1025866	-14.57218	-14.4696
1	0	-14.5209	-14.5209
1.05	0	-14.46962	-14.46962
1.1	0	-14.41556	-14.41556
1.15	0	-14.35841	-14.35841
1.2	0	-14.2978	-14.2978
1.25	0	-14.23327	-14.23327
1.3	0	-14.16429	-14.16429
1.35	0	-14.0902	-14.0902
1.4	0	-14.01018	-14.01018
1.45	0	-13.92318	-13.92318
1.5	0	-13.8279	-13.8279
1.55	0	-13.72257	-13.72257
1.6	0	-13.60486	-13.60486
1.65	0	-13.47143	-13.47143
1.7	0	-13.31741	-13.31741
1.75	0	-13.13524	-13.13524
1.8	0	-12.91231	-12.91231
1.85	0	-12.62494	-12.62494
1.9	0	-12.21999	-12.21999
1.95	0	-11.52798	-11.52798
2	0	0	0
