# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-8.26857	1.15375
5.09	9.28371	-8.23201	1.0517
5.18	9.14818	-8.19636	0.951817
5.27	9.01544	-8.16148	0.853959
5.36	8.88526	-8.12727	0.757989
5.45	8.75742	-8.09364	0.663789
5.54	8.63175	-8.06049	0.571255
5.63	8.50807	-8.02778	0.480295
5.72	8.38626	-7.99543	0.390826
5.81	8.26617	-7.96339	0.302774
5.9	8.14769	-7.93162	0.216072
5.99	8.03073	-7.90007	0.130661
6.08	7.91597	-7.86922	0.046751
6.17	7.80336	-7.83906	-0.0357039
6.26	7.69273	-7.80951	-0.116778
6.35	7.58397	-7.7805	-0.196536
6.44	7.47694	-7.75198	-0.275037
6.53	7.37155	-7.72388	-0.352334
6.62	7.2677	-7.69618	-0.428475
6.71	7.16531	-7.66881	-0.503502
6.8	7.0643	-7.64176	-0.577453
6.89	6.9646	-7.61497	-0.650366
6.98	6.86615	-7.58842	-0.72227
7.07	6.76922	-7.56234	-0.793113
7.16	6.67383	-7.53673	-0.862907
7.25	6.57988	-7.51156	-0.931686
7.34	6.48731	-7.48679	-0.999483
7.43	6.39605	-7.46237	-1.06632
7.52	6.30604	-7.43828	-1.13224
7.61	6.21723	-7.41448	-1.19724
7.7	6.12957	-7.39094	-1.26137
7.79	6.04301	-7.36763	-1.32462
7.88	5.95751	-7.34454	-1.38703
7.97	5.87303	-7.32164	-1.44861
8.06	5.78968	-7.29902	-1.50935
8.15	5.70746	-7.27671	-1.56925
8.24	5.62634	-7.25467	-1.62833
8.33	5.54628	-7.23288	-1.6866
8.42	5.46724	-7.21132	-1.74408
8.51	5.38918	-7.18996	-1.80078
8.6	5.31208	-7.16879	-1.85672
8.69	5.2359	-7.14778	-1.91189
8.78	5.16062	-7.12693	-1.96631
8.87	5.08621	-7.1062	-2.01999
8.96	5.01266	-7.08559	-2.07294
9.05	4.93998	-7.06513	-2.12515
9.14	4.8682	-7.04484	-2.17664
9.23	4.79729	-7.02469	-2.2274
9.32	4.72723	-7.00467	-2.27744
9.41	4.658	-6.98478	-2.32678
9.5	4.58957	-6.96499	-2.37541
9.59	4.52194	-6.94529	-2.42335
