# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-10.5193	-1.09697
5.09	9.28371	-10.471	-1.18729
5.18	9.14818	-10.424	-1.27581
5.27	9.01544	-10.3781	-1.36265
5.36	8.88526	-10.3332	-1.4479
5.45	8.75742	-10.2891	-1.53164
5.54	8.63175	-10.2457	-1.61397
5.63	8.50807	-10.203	-1.69494
5.72	8.38626	-10.1609	-1.77462
5.81	8.26617	-10.1192	-1.85306
5.9	8.14769	-10.078	-1.93031
5.99	8.03073	-10.0371	-2.00642
6.08	7.91597	-9.99725	-2.08128
6.17	7.80336	-9.95828	-2.15493
6.26	7.69273	-9.92014	-2.22741
6.35	7.58397	-9.88274	-2.29878
6.44	7.47694	-9.84601	-2.36907
6.53	7.37155	-9.80987	-2.43832
6.62	7.2677	-9.77427	-2.50657
6.71	7.16531	-9.73915	-2.57383
6.8	7.0643	-9.70445	-2.64015
6.89	6.9646	-9.67014	-2.70554
6.98	6.86615	-9.63618	-2.77002
7.07	6.76922	-9.6028	-2.83358
7.16	6.67383	-9.57005	-2.89623
7.25	6.57988	-9.53786	-2.95798
7.34	6.48731	-9.50617	-3.01886
7.43	6.39605	-9.47493	-3.07889
7.52	6.30604	-9.44412	-3.13808
7.61	6.21723	-9.41367	-3.19644
7.7	6.12957	-9.38357	-3.254
7.79	6.04301	-9.35377	-3.31076
7.88	5.95751	-9.32424	-3.36673
7.97	5.87303	-9.29495	-3.42192
8.06	5.78968	-9.26601	-3.47634
8.15	5.70746	-9.23744	-3.52998
8.24	5.62634	-9.2092	-3.58286
8.33	5.54628	-9.18126	-3.63498
8.42	5.46724	-9.15359	-3.68636
8.51	5.38918	-9.12617	-3.73699
8.6	5.31208	-9.09897	-3.78689
8.69	5.2359	-9.07196	-3.83606
8.78	5.16062	-9.04513	-3.88451
8.87	5.08621	-9.01846	-3.93225
8.96	5.01266	-8.99192	-3.97926
9.05	4.93998	-8.96555	-4.02557
9.14	4.8682	-8.93937	-4.07117
9.23	4.79729	-8.91336	-4.11606
9.32	4.72723	-8.88749	-4.16026
9.41	4.658	-8.86175	-4.20376
9.5	4.58957	-8.83613	-4.24656
9.59	4.52194	-8.81061	-4.28867
9.68	4.45507	-8.78517	-4.3301
9.77	4.38897	-8.75981	-4.37084
9.86	4.32361	-8.73451	-4.4109
9.95	4.25897	-8.70925	-4.45028
10.04	4.19507	-8.68406	-4.48898
10.13	4.13192	-8.65893	-4.52701
10.22	4.06949	-8.63385	-4.56436
10.31	4.00777	-8.60882	-4.60105
10.4	3.94676	-8.58383	-4.63706
10.49	3.88645	-8.55886	-4.67241
10.58	3.82681	-8.5339	-4.70709
10.67	3.76785	-8.50896	-4.74111
10.76	3.70955	-8.48402	-4.77447
10.85	3.6519	-8.45907	-4.80717
10.94	3.59489	-8.4341	-4.83921
11.03	3.53853	-8.40913	-4.8706
11.12	3.48282	-8.38414	-4.90133
11.21	3.42774	-8.35915	-4.93141
11.3	3.37329	-8.33413	-4.96084
11.39	3.31946	-8.30908	-4.98962
11.48	3.26625	-8.284	-5.01775
11.57	3.21365	-8.25889	-5.04524
11.66	3.16165	-8.23373	-5.07208
11.75	3.11025	-8.20853	-5.09828
11.84	3.05943	-8.18328	-5.12384
11.93	3.0092	-8.15797	-5.14876
12.02	2.95956	-8.1326	-5.17305
12.11	2.91049	-8.10718	-5.19669
12.2	2.862	-8.08171	-5.21971
12.29	2.81408	-8.05617	-5.24209
12.38	2.76672	-8.03056	-5.26384
12.47	2.71993	-8.00489	-5.28496
12.56	2.67369	-7.97914	-5.30546
12.65	2.628	-7.95332	-5.32532
12.74	2.58286	-7.92743	-5.34457
12.83	2.53826	-7.90145	-5.36319
12.92	2.4942	-7.87539	-5.38119
13.01	2.45068	-7.84924	-5.39857
13.1	2.40768	-7.82302	-5.41533
13.19	2.36522	-7.7967	-5.43148
13.28	2.32328	-7.7703	-5.44701
13.37	2.28187	-7.7438	-5.46194
13.46	2.24097	-7.71722	-5.47625
13.55	2.20059	-7.69054	-5.48995
13.64	2.16071	-7.66376	-5.50304
13.73	2.12135	-7.63688	-5.51553
13.82	2.08248	-7.6099	-5.52742
13.91	2.04412	-7.58282	-5.53871
14	2.00625	-7.55564	-5.54939
14.09	1.96887	-7.52835	-5.55948
14.18	1.93199	-7.50096	-5.56898
14.27	1.89559	-7.47346	-5.57787
14.36	1.85967	-7.44585	-5.58618
14.45	1.82424	-7.41814	-5.5939
14.54	1.78928	-7.39031	-5.60103
14.63	1.75479	-7.36236	-5.60757
14.72	1.72078	-7.33431	-5.61353
14.81	1.68723	-7.30614	-5.61891
14.9	1.65414	-7.27785	-5.62371
14.99	1.62152	-7.24944	-5.62793
15.08	1.58935	-7.22092	-5.63157
15.17	1.55763	-7.19228	-5.63464
15.26	1.52637	-7.16351	-5.63714
15.35	1.49555	-7.13463	-5.63907
15.44	1.46518	-7.10562	-5.64044
15.53	1.43525	-7.07648	-5.64124
15.62	1.40575	-7.04723	-5.64147
15.71	1.37669	-7.01784	-5.64115
15.8	1.34806	-6.98833	-5.64027
15.89	1.31986	-6.95869	-5.63884
15.98	1.29208	-6.92893	-5.63685
16.07	1.26472	-6.89903	-5.63431
16.16	1.23779	-6.869	-5.63122
16.25	1.21126	-6.83885	-5.62759
16.34	1.18515	-6.80856	-5.62341
16.43	1.15944	-6.77814	-5.61869
16.52	1.13414	-6.74758	-5.61344
16.61	1.10924	-6.71689	-5.60765
16.7	1.08474	-6.68607	-5.60132
16.79	1.06064	-6.6551	-5.59447
16.88	1.03692	-6.62401	-5.58709
16.97	1.01359	-6.59277	-5.57918
17.06	0.990651	-6.5614	-5.57075
17.15	0.968089	-6.52989	-5.5618
17.24	0.945906	-6.49824	-5.55234
17.33	0.924096	-6.46646	-5.54236
17.42	0.902657	-6.43453	-5.53187
17.51	0.881586	-6.40246	-5.52088
17.6	0.860879	-6.37025	-5.50937
17.69	0.840533	-6.3379	-5.49737
17.78	0.820544	-6.30541	-5.48487
17.87	0.800908	-6.27278	-5.47187
17.96	0.781622	-6.24	-5.45838
18.05	0.762683	-6.20709	-5.4444
18.14	0.744088	-6.17402	-5.42994
18.23	0.725832	-6.14082	-5.41499
18.32	0.707912	-6.10747	-5.39956
18.41	0.690325	-6.07398	-5.38365
18.5	0.673066	-6.04034	-5.36728
18.59	0.656134	-6.00656	-5.35043
18.68	0.639523	-5.97264	-5.33312
18.77	0.623231	-5.93857	-5.31534
18.86	0.607254	-5.90436	-5.29711
18.95	0.591588	-5.87001	-5.27842
19.04	0.57623	-5.83551	-5.25928
19.13	0.561175	-5.80086	-5.23969
19.22	0.546422	-5.76607	-5.21965
19.31	0.531965	-5.73114	-5.19918
19.4	0.517802	-5.69607	-5.17826
19.49	0.503928	-5.66085	-5.15692
19.58	0.49034	-5.62549	-5.13515
19.67	0.477035	-5.58998	-5.11295
19.76	0.464009	-5.55433	-5.09033
19.85	0.451258	-5.51855	-5.06729
19.94	0.438779	-5.48261	-5.04383
20.03	0.426568	-5.44654	-5.01997
20.12	0.414622	-5.41032	-4.9957
20.21	0.402936	-5.37397	-4.97103
20.3	0.391507	-5.33747	-4.94596
20.39	0.380332	-5.30084	-4.9205
20.48	0.369407	-5.26406	-4.89465
20.57	0.358729	-5.22715	-4.86842
20.66	0.348293	-5.1901	-4.8418
20.75	0.338097	-5.15291	-4.81481
20.84	0.328136	-5.11558	-4.78744
20.93	0.318408	-5.07811	-4.75971
21.02	0.308908	-5.04051	-4.7316
21.11	0.299633	-5.00277	-4.70314
21.2	0.290579	-4.9649	-4.67432
21.29	0.281743	-4.92689	-4.64515
21.38	0.273122	-4.88876	-4.61564
21.47	0.264712	-4.85049	-4.58578
21.56	0.256509	-4.8121	-4.55559
21.65	0.24851	-4.77358	-4.52507
21.74	0.240711	-4.73492	-4.49421
21.83	0.23311	-4.69614	-4.46303
21.92	0.225702	-4.65723	-4.43153
22.01	0.218484	-4.61819	-4.39971
22.1	0.211454	-4.57902	-4.36757
22.19	0.204606	-4.53974	-4.33514
22.28	0.197939	-4.50035	-4.30241
22.37	0.191448	-4.46085	-4.2694
22.46	0.185131	-4.42123	-4.2361
22.55	0.178984	-4.38151	-4.20252
22.64	0.173004	-4.34167	-4.16867
22.73	0.167188	-4.30173	-4.13454
22.82	0.161532	-4.26169	-4.10016
22.91	0.156033	-4.22154	-4.0655
23	0.150688	-4.18128	-4.03059
23.09	0.145495	-4.14092	-3.99543
23.18	0.140449	-4.10049	-3.96004
23.27	0.135548	-4.05998	-3.92443
23.36	0.130789	-4.0194	-3.88861
23.45	0.126169	-3.97875	-3.85258
23.54	0.121684	-3.93803	-3.81634
23.63	0.117332	-3.89725	-3.77991
23.72	0.11311	-3.8564	-3.74329
23.81	0.109015	-3.8155	-3.70648
23.9	0.105044	-3.77454	-3.66949
23.99	0.101194	-3.73352	-3.63233
24.08	0.0974632	-3.69246	-3.595
24.17	0.0938478	-3.65138	-3.55753
24.26	0.0903453	-3.61029	-3.51994
24.35	0.0869531	-3.56918	-3.48223
24.44	0.0836684	-3.52808	-3.44441
24.53	0.0804888	-3.48697	-3.40648
24.62	0.0774116	-3.44587	-3.36846
24.71	0.0744343	-3.40478	-3.33035
24.8	0.0715544	-3.36371	-3.29216
24.89	0.0687695	-3.32265	-3.25388
24.98	0.0660773	-3.28162	-3.21555
25.07	0.0634753	-3.24062	-3.17715
25.16	0.0609609	-3.19968	-3.13872
25.25	0.0585316	-3.15881	-3.10028
25.34	0.0561854	-3.11802	-3.06183
25.43	0.0539199	-3.07731	-3.02339
