# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-5.48759	3.93473
5.09	9.28371	-5.45811	3.8256
5.18	9.14818	-5.42938	3.71879
5.27	9.01544	-5.40129	3.61415
5.36	8.88526	-5.37375	3.51151
5.45	8.75742	-5.34667	3.41075
5.54	8.63175	-5.32	3.31175
5.63	8.50807	-5.29366	3.21441
5.72	8.38626	-5.26762	3.11864
5.81	8.26617	-5.24182	3.02434
5.9	8.14769	-5.21623	2.93146
5.99	8.03073	-5.19081	2.83992
6.08	7.91597	-5.16596	2.75001
6.17	7.80336	-5.14168	2.66167
6.26	7.69273	-5.11791	2.57483
6.35	7.58397	-5.09457	2.4894
6.44	7.47694	-5.07163	2.40531
6.53	7.37155	-5.04903	2.32252
6.62	7.2677	-5.02675	2.24096
6.71	7.16531	-5.00474	2.16057
6.8	7.0643	-4.98298	2.08133
6.89	6.9646	-4.96143	2.00318
6.98	6.86615	-4.94007	1.92608
7.07	6.76922	-4.91909	1.85013
7.16	6.67383	-4.89851	1.77531
7.25	6.57988	-4.87829	1.70158
7.34	6.48731	-4.8584	1.6289
7.43	6.39605	-4.83881	1.55724
7.52	6.30604	-4.81948	1.48656
7.61	6.21723	-4.80039	1.41684
7.7	6.12957	-4.78153	1.34804
7.79	6.04301	-4.76285	1.28016
7.88	5.95751	-4.74435	1.21316
7.97	5.87303	-4.72601	1.14702
8.06	5.78968	-4.70791	1.08177
8.15	5.70746	-4.69007	1.01739
8.24	5.62634	-4.67246	0.953882
8.33	5.54628	-4.65507	0.891211
8.42	5.46724	-4.63787	0.829364
8.51	5.38918	-4.62085	0.768326
8.6	5.31208	-4.60399	0.708082
8.69	5.2359	-4.58728	0.648619
8.78	5.16062	-4.57069	0.589925
8.87	5.08621	-4.55423	0.531987
8.96	5.01266	-4.53786	0.474795
9.05	4.93998	-4.52163	0.418351
9.14	4.8682	-4.50555	0.362653
9.23	4.79729	-4.4896	0.307691
9.32	4.72723	-4.47378	0.253455
9.41	4.658	-4.45806	0.199936
9.5	4.58957	-4.44244	0.147127
9.59	4.52194	-4.42692	0.0950204
9.68	4.45507	-4.41146	0.0436087
9.77	4.38897	-4.39608	-0.00711439
9.86	4.32361	-4.38076	-0.0571551
9.95	4.25897	-4.36549	-0.106519
10.04	4.19507	-4.35028	-0.155209
10.13	4.13192	-4.33514	-0.203227
10.22	4.06949	-4.32006	-0.250578
10.31	4.00777	-4.30504	-0.297267
10.4	3.94676	-4.29006	-0.343299
10.49	3.88645	-4.27513	-0.388679
10.58	3.82681	-4.26022	-0.43341
10.67	3.76785	-4.24535	-0.477497
10.76	3.70955	-4.23049	-0.520944
10.85	3.6519	-4.21565	-0.563755
10.94	3.59489	-4.20083	-0.605932
11.03	3.53853	-4.18601	-0.647479
11.12	3.48282	-4.17121	-0.688398
11.21	3.42774	-4.15643	-0.728692
11.3	3.37329	-4.14165	-0.768364
11.39	3.31946	-4.12688	-0.807418
11.48	3.26625	-4.11211	-0.845857
11.57	3.21365	-4.09733	-0.883683
11.66	3.16165	-4.08255	-0.920899
11.75	3.11025	-4.06776	-0.957508
11.84	3.05943	-4.05295	-0.993514
11.93	3.0092	-4.03812	-1.02892
12.02	2.95956	-4.02328	-1.06372
12.11	2.91049	-4.00842	-1.09793
12.2	2.862	-3.99354	-1.13155
12.29	2.81408	-3.97864	-1.16457
12.38	2.76672	-3.96372	-1.197
12.47	2.71993	-3.94877	-1.22885
12.56	2.67369	-3.9338	-1.26011
12.65	2.628	-3.91879	-1.29079
12.74	2.58286	-3.90375	-1.32089
12.83	2.53826	-3.88868	-1.35042
12.92	2.4942	-3.87357	-1.37937
13.01	2.45068	-3.85843	-1.40775
13.1	2.40768	-3.84324	-1.43556
13.19	2.36522	-3.82802	-1.4628
13.28	2.32328	-3.81277	-1.48948
13.37	2.28187	-3.79747	-1.5156
13.46	2.24097	-3.78212	-1.54115
13.55	2.20059	-3.76674	-1.56615
13.64	2.16071	-3.75131	-1.59059
13.73	2.12135	-3.73583	-1.61449
13.82	2.08248	-3.72031	-1.63783
13.91	2.04412	-3.70474	-1.66062
14	2.00625	-3.68911	-1.68287
14.09	1.96887	-3.67344	-1.70457
14.18	1.93199	-3.65772	-1.72574
14.27	1.89559	-3.64195	-1.74637
14.36	1.85967	-3.62613	-1.76646
14.45	1.82424	-3.61026	-1.78602
14.54	1.78928	-3.59433	-1.80505
14.63	1.75479	-3.57834	-1.82355
14.72	1.72078	-3.56231	-1.84153
14.81	1.68723	-3.54621	-1.85898
14.9	1.65414	-3.53006	-1.87592
14.99	1.62152	-3.51386	-1.89234
15.08	1.58935	-3.49759	-1.90825
15.17	1.55763	-3.48127	-1.92364
15.26	1.52637	-3.4649	-1.93853
15.35	1.49555	-3.44846	-1.95291
15.44	1.46518	-3.43196	-1.96679
15.53	1.43525	-3.41541	-1.98016
15.62	1.40575	-3.39879	-1.99304
15.71	1.37669	-3.38212	-2.00543
15.8	1.34806	-3.36538	-2.01732
15.89	1.31986	-3.34859	-2.02873
15.98	1.29208	-3.33173	-2.03965
16.07	1.26472	-3.31481	-2.05009
16.16	1.23779	-3.29783	-2.06005
16.25	1.21126	-3.28079	-2.06953
16.34	1.18515	-3.26368	-2.07854
16.43	1.15944	-3.24652	-2.08708
16.52	1.13414	-3.22929	-2.09515
16.61	1.10924	-3.212	-2.10276
16.7	1.08474	-3.19465	-2.1099
16.79	1.06064	-3.17723	-2.11659
16.88	1.03692	-3.15975	-2.12283
16.97	1.01359	-3.14221	-2.12862
17.06	0.990651	-3.12461	-2.13396
17.15	0.968089	-3.10694	-2.13885
17.24	0.945906	-3.08921	-2.14331
17.33	0.924096	-3.07142	-2.14732
17.42	0.902657	-3.05356	-2.15091
17.51	0.881586	-3.03565	-2.15406
17.6	0.860879	-3.01767	-2.15679
17.69	0.840533	-2.99963	-2.1591
17.78	0.820544	-2.98153	-2.16098
17.87	0.800908	-2.96336	-2.16245
17.96	0.781622	-2.94514	-2.16351
18.05	0.762683	-2.92685	-2.16417
18.14	0.744088	-2.9085	-2.16442
18.23	0.725832	-2.8901	-2.16427
18.32	0.707912	-2.87163	-2.16372
18.41	0.690325	-2.8531	-2.16278
18.5	0.673066	-2.83452	-2.16145
18.59	0.656134	-2.81587	-2.15974
18.68	0.639523	-2.79717	-2.15765
18.77	0.623231	-2.77841	-2.15518
18.86	0.607254	-2.7596	-2.15234
18.95	0.591588	-2.74072	-2.14914
19.04	0.57623	-2.7218	-2.14557
19.13	0.561175	-2.70281	-2.14164
19.22	0.546422	-2.68378	-2.13735
19.31	0.531965	-2.66469	-2.13272
19.4	0.517802	-2.64554	-2.12774
19.49	0.503928	-2.62635	-2.12242
19.58	0.49034	-2.6071	-2.11676
19.67	0.477035	-2.58781	-2.11077
19.76	0.464009	-2.56846	-2.10445
19.85	0.451258	-2.54907	-2.09781
19.94	0.438779	-2.52963	-2.09085
20.03	0.426568	-2.51014	-2.08358
20.12	0.414622	-2.49061	-2.07599
20.21	0.402936	-2.47104	-2.0681
20.3	0.391507	-2.45142	-2.05992
20.39	0.380332	-2.43177	-2.05143
20.48	0.369407	-2.41207	-2.04266
20.57	0.358729	-2.39233	-2.0336
20.66	0.348293	-2.37256	-2.02427
20.75	0.338097	-2.35275	-2.01466
20.84	0.328136	-2.33291	-2.00477
20.93	0.318408	-2.31303	-1.99462
21.02	0.308908	-2.29312	-1.98422
21.11	0.299633	-2.27319	-1.97355
21.2	0.290579	-2.25322	-1.96264
21.29	0.281743	-2.23323	-1.95148
21.38	0.273122	-2.21321	-1.94009
21.47	0.264712	-2.19317	-1.92846
21.56	0.256509	-2.17311	-1.9166
21.65	0.24851	-2.15303	-1.90452
21.74	0.240711	-2.13293	-1.89221
21.83	0.23311	-2.11281	-1.8797
21.92	0.225702	-2.09268	-1.86698
22.01	0.218484	-2.07254	-1.85405
22.1	0.211454	-2.05239	-1.84093
22.19	0.204606	-2.03222	-1.82762
22.28	0.197939	-2.01206	-1.81412
22.37	0.191448	-1.99189	-1.80044
22.46	0.185131	-1.97172	-1.78659
22.55	0.178984	-1.95155	-1.77257
22.64	0.173004	-1.93139	-1.75838
22.73	0.167188	-1.91123	-1.74404
22.82	0.161532	-1.89107	-1.72954
22.91	0.156033	-1.87093	-1.7149
23	0.150688	-1.8508	-1.70011
23.09	0.145495	-1.83068	-1.68519
23.18	0.140449	-1.81058	-1.67014
23.27	0.135548	-1.79051	-1.65496
23.36	0.130789	-1.77046	-1.63967
23.45	0.126169	-1.75043	-1.62426
23.54	0.121684	-1.73043	-1.60875
23.63	0.117332	-1.71047	-1.59314
23.72	0.11311	-1.69054	-1.57743
23.81	0.109015	-1.67064	-1.56163
23.9	0.105044	-1.65079	-1.54574
23.99	0.101194	-1.63097	-1.52978
24.08	0.0974632	-1.61121	-1.51374
24.17	0.0938478	-1.59149	-1.49764
24.26	0.0903453	-1.57182	-1.48148
24.35	0.0869531	-1.55221	-1.46526
24.44	0.0836684	-1.53266	-1.44899
24.53	0.0804888	-1.51317	-1.43269
24.62	0.0774116	-1.49375	-1.41634
24.71	0.0744343	-1.47439	-1.39996
24.8	0.0715544	-1.45511	-1.38355
24.89	0.0687695	-1.43589	-1.36712
24.98	0.0660773	-1.41675	-1.35068
25.07	0.0634753	-1.39769	-1.33422
25.16	0.0609609	-1.37872	-1.31776
25.25	0.0585316	-1.35983	-1.3013
25.34	0.0561854	-1.34103	-1.28484
25.43	0.0539199	-1.32233	-1.26841
25.52	0.0517329	-1.30372	-1.25198
25.61	0.0496224	-1.28521	-1.23558
25.7	0.0475862	-1.2668	-1.21921
25.79	0.0456224	-1.24849	-1.20287
25.88	0.0437288	-1.23029	-1.18656
25.97	0.0419035	-1.2122	-1.1703
26.06	0.0401446	-1.19422	-1.15408
26.15	0.0384498	-1.17636	-1.13791
26.24	0.0368171	-1.15861	-1.1218
26.33	0.0352447	-1.14099	-1.10575
26.42	0.0337307	-1.1235	-1.08977
26.51	0.0322735	-1.10613	-1.07385
26.6	0.0308714	-1.08889	-1.05802
26.69	0.0295227	-1.07178	-1.04225
26.78	0.0282257	-1.0548	-1.02657
26.87	0.0269788	-1.03796	-1.01098
26.96	0.0257806	-1.02125	-0.995473
27.05	0.0246295	-1.00469	-0.980058
27.14	0.0235237	-0.988264	-0.96474
27.23	0.0224614	-0.971986	-0.949525
27.32	0.0214414	-0.955855	-0.934414
27.41	0.0204622	-0.939873	-0.919411
27.5	0.0195226	-0.924041	-0.904519
27.59	0.0186211	-0.908361	-0.88974
27.68	0.0177566	-0.892833	-0.875076
27.77	0.0169278	-0.877458	-0.860531
27.86	0.0161335	-0.862239	-0.846106
27.95	0.0153726	-0.847176	-0.831804
28.04	0.0146438	-0.83227	-0.817626
28.13	0.013946	-0.817523	-0.803577
28.22	0.0132776	-0.802938	-0.78966
28.31	0.0126376	-0.788514	-0.775877
28.4	0.0120251	-0.774253	-0.762228
28.49	0.0114392	-0.760155	-0.748716
28.58	0.0108787	-0.746221	-0.735342
28.67	0.0103429	-0.73245	-0.722107
28.76	0.00983087	-0.718844	-0.709013
28.85	0.00934168	-0.705402	-0.696061
28.94	0.00887451	-0.692126	-0.683251
29.03	0.00842854	-0.679014	-0.670585
29.12	0.00800284	-0.666067	-0.658064
29.21	0.00759635	-0.653287	-0.645691
29.3	0.00720833	-0.640673	-0.633465
29.39	0.0068381	-0.628225	-0.621387
29.48	0.00648497	-0.615943	-0.609458
29.57	0.00614829	-0.603826	-0.597678
29.66	0.00582742	-0.591875	-0.586047
29.75	0.00552175	-0.580088	-0.574566
29.84	0.00523066	-0.568465	-0.563234
29.93	0.0049536	-0.557005	-0.552052
30.02	0.00468998	-0.545709	-0.541019
30.11	0.00443921	-0.534575	-0.530136
30.2	0.00420046	-0.523604	-0.519403
30.29	0.00397327	-0.512794	-0.50882
30.38	0.00375717	-0.502144	-0.498387
30.47	0.0035517	-0.491654	-0.488103
30.56	0.00335642	-0.481323	-0.477967
30.65	0.00317092	-0.47115	-0.467979
30.74	0.00299479	-0.461134	-0.458139
30.83	0.00282762	-0.451274	-0.448446
30.92	0.00266905	-0.441569	-0.438899
31.01	0.00251869	-0.432017	-0.429498
31.1	0.00237618	-0.422618	-0.420241
31.19	0.00224092	-0.41337	-0.411129
31.28	0.00211261	-0.404272	-0.402159
31.37	0.00199096	-0.395323	-0.393332
31.46	0.00187567	-0.386522	-0.384647
31.55	0.00176646	-0.377868	-0.376101
31.64	0.00166307	-0.369358	-0.367695
31.73	0.00156524	-0.360992	-0.359427
31.82	0.00147271	-0.352769	-0.351296
31.91	0.00138525	-0.344686	-0.343301
32	0.00130263	-0.336744	-0.335441
32.09	0.00122462	-0.328939	-0.327715
32.18	0.00115083	-0.321271	-0.32012
32.27	0.00108105	-0.313738	-0.312657
32.36	0.00101512	-0.306339	-0.305324
32.45	0.000952844	-0.299071	-0.298119
32.54	0.000894061	-0.291935	-0.291041
32.63	0.000838608	-0.284928	-0.284089
32.72	0.000786326	-0.278048	-0.277262
32.81	0.000737064	-0.271295	-0.270558
32.9	0.000690677	-0.264667	-0.263976
32.99	0.000647027	-0.258162	-0.257515
33.08	0.000605979	-0.251778	-0.251172
33.17	0.000567293	-0.245515	-0.244948
33.26	0.000530842	-0.23937	-0.238839
33.35	0.000496517	-0.233342	-0.232846
33.44	0.000464217	-0.227429	-0.226965
33.53	0.00043384	-0.221631	-0.221197
33.62	0.000405292	-0.215945	-0.215539
33.71	0.000378483	-0.21037	-0.209991
33.8	0.000353323	-0.204904	-0.204551
33.89	0.00032973	-0.199547	-0.199217
33.98	0.000307623	-0.194297	-0.193989
34.07	0.000286925	-0.189151	-0.188864
34.16	0.000267499	-0.184109	-0.183842
34.25	0.000249262	-0.179169	-0.17892
34.34	0.000232154	-0.17433	-0.174098
34.43	0.000216116	-0.169589	-0.169373
34.52	0.000201093	-0.164947	-0.164746
34.61	0.000187033	-0.1604	-0.160213
34.7	0.000173884	-0.155949	-0.155775
34.79	0.000161598	-0.151592	-0.15143
34.88	0.000150129	-0.147326	-0.147176
34.97	0.000139433	-0.143152	-0.143013
35.06	0.000129468	-0.139068	-0.138938
35.15	0.000120159	-0.135071	-0.134951
35.24	0.000111453	-0.131162	-0.13105
35.33	0.000103319	-0.127337	-0.127234
35.42	9.57253e-05	-0.123597	-0.123501
35.51	8.86429e-05	-0.119939	-0.119851
35.6	8.20437e-05	-0.116364	-0.116282
35.69	7.59007e-05	-0.112868	-0.112792
35.78	7.01886e-05	-0.109452	-0.109382
35.87	6.48829e-05	-0.106114	-0.10605
35.96	5.99606e-05	-0.102853	-0.102793
36.05	5.53996e-05	-0.0996681	-0.0996127
36.14	5.1162e-05	-0.0965571	-0.096506
36.23	4.72156e-05	-0.0935192	-0.093472
36.32	4.35442e-05	-0.0905531	-0.0905095
36.41	4.01323e-05	-0.0876578	-0.0876177
36.5	3.69649e-05	-0.0848323	-0.0847953
36.59	3.40279e-05	-0.0820754	-0.0820413
36.68	3.1308e-05	-0.079386	-0.0793547
36.77	2.87924e-05	-0.0767632	-0.0767344
36.86	2.64689e-05	-0.0742059	-0.0741794
36.95	2.43261e-05	-0.071713	-0.0716887
37.04	2.2353e-05	-0.0692835	-0.0692612
37.13	2.05315e-05	-0.0669162	-0.0668957
37.22	1.88427e-05	-0.0646099	-0.064591
37.31	1.72787e-05	-0.0623635	-0.0623462
