# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-5.77769	3.64463
5.09	9.28371	-5.74939	3.53432
5.18	9.14818	-5.72178	3.42639
5.27	9.01544	-5.69477	3.32067
5.36	8.88526	-5.66826	3.217
5.45	8.75742	-5.64217	3.11525
5.54	8.63175	-5.61645	3.0153
5.63	8.50807	-5.59104	2.91704
5.72	8.38626	-5.56589	2.82037
5.81	8.26617	-5.54096	2.7252
5.9	8.14769	-5.51622	2.63147
5.99	8.03073	-5.49162	2.53911
6.08	7.91597	-5.46757	2.4484
6.17	7.80336	-5.44405	2.35931
6.26	7.69273	-5.421	2.27174
6.35	7.58397	-5.39836	2.18561
6.44	7.47694	-5.37609	2.10086
6.53	7.37155	-5.35414	2.01741
6.62	7.2677	-5.33248	1.93522
6.71	7.16531	-5.31108	1.85423
6.8	7.0643	-5.28991	1.77439
6.89	6.9646	-5.26894	1.69566
6.98	6.86615	-5.24814	1.61801
7.07	6.76922	-5.22771	1.54152
7.16	6.67383	-5.20765	1.46618
7.25	6.57988	-5.18794	1.39194
7.34	6.48731	-5.16853	1.31877
7.43	6.39605	-5.14941	1.24664
7.52	6.30604	-5.13054	1.1755
7.61	6.21723	-5.1119	1.10533
7.7	6.12957	-5.09346	1.03611
7.79	6.04301	-5.07521	0.967797
7.88	5.95751	-5.05713	0.900382
7.97	5.87303	-5.03919	0.833841
8.06	5.78968	-5.02148	0.768195
8.15	5.70746	-5.00402	0.70344
8.24	5.62634	-4.98679	0.639556
8.33	5.54628	-4.96976	0.576522
8.42	5.46724	-4.95292	0.514322
8.51	5.38918	-4.93624	0.452938
8.6	5.31208	-4.91972	0.392356
8.69	5.2359	-4.90334	0.332562
8.78	5.16062	-4.88708	0.273543
8.87	5.08621	-4.87093	0.215287
8.96	5.01266	-4.85487	0.157783
9.05	4.93998	-4.83895	0.101033
9.14	4.8682	-4.82317	0.0450359
9.23	4.79729	-4.80751	-0.01022
9.32	4.72723	-4.79197	-0.0647438
9.41	4.658	-4.77654	-0.118544
9.5	4.58957	-4.7612	-0.17163
9.59	4.52194	-4.74594	-0.224009
9.68	4.45507	-4.73076	-0.275687
9.77	4.38897	-4.71564	-0.326673
9.86	4.32361	-4.70058	-0.376971
9.95	4.25897	-4.68556	-0.426589
10.04	4.19507	-4.6706	-0.475528
10.13	4.13192	-4.6557	-0.52379
10.22	4.06949	-4.64087	-0.571381
10.31	4.00777	-4.62608	-0.618305
10.4	3.94676	-4.61133	-0.664569
10.49	3.88645	-4.59662	-0.710175
10.58	3.82681	-4.58194	-0.755129
10.67	3.76785	-4.56728	-0.799435
10.76	3.70955	-4.55264	-0.843096
10.85	3.6519	-4.53802	-0.886117
10.94	3.59489	-4.5234	-0.928501
11.03	3.53853	-4.50878	-0.970251
11.12	3.48282	-4.49418	-1.01137
11.21	3.42774	-4.47959	-1.05186
11.3	3.37329	-4.46501	-1.09172
11.39	3.31946	-4.45042	-1.13096
11.48	3.26625	-4.43583	-1.16958
11.57	3.21365	-4.42123	-1.20758
11.66	3.16165	-4.40662	-1.24497
11.75	3.11025	-4.392	-1.28175
11.84	3.05943	-4.37736	-1.31792
11.93	3.0092	-4.36269	-1.35349
12.02	2.95956	-4.348	-1.38845
12.11	2.91049	-4.3333	-1.42281
12.2	2.862	-4.31857	-1.45657
12.29	2.81408	-4.30381	-1.48974
12.38	2.76672	-4.28903	-1.52231
12.47	2.71993	-4.27421	-1.55429
12.56	2.67369	-4.25937	-1.58568
12.65	2.628	-4.24449	-1.61649
12.74	2.58286	-4.22957	-1.64671
12.83	2.53826	-4.21461	-1.67635
12.92	2.4942	-4.19961	-1.70541
13.01	2.45068	-4.18457	-1.7339
13.1	2.40768	-4.16949	-1.76181
13.19	2.36522	-4.15436	-1.78914
13.28	2.32328	-4.1392	-1.81591
13.37	2.28187	-4.12398	-1.84211
13.46	2.24097	-4.10872	-1.86775
13.55	2.20059	-4.09341	-1.89282
13.64	2.16071	-4.07804	-1.91733
13.73	2.12135	-4.06263	-1.94128
13.82	2.08248	-4.04716	-1.96468
13.91	2.04412	-4.03164	-1.98753
14	2.00625	-4.01607	-2.00982
14.09	1.96887	-4.00044	-2.03156
14.18	1.93199	-3.98475	-2.05276
14.27	1.89559	-3.96901	-2.07342
14.36	1.85967	-3.9532	-2.09353
14.45	1.82424	-3.93734	-2.11311
14.54	1.78928	-3.92142	-2.13215
14.63	1.75479	-3.90544	-2.15065
14.72	1.72078	-3.8894	-2.16862
14.81	1.68723	-3.8733	-2.18607
14.9	1.65414	-3.85713	-2.20299
14.99	1.62152	-3.8409	-2.21938
15.08	1.58935	-3.8246	-2.23526
15.17	1.55763	-3.80824	-2.25061
15.26	1.52637	-3.79182	-2.26545
15.35	1.49555	-3.77533	-2.27978
15.44	1.46518	-3.75877	-2.29359
15.53	1.43525	-3.74215	-2.3069
15.62	1.40575	-3.72546	-2.31971
15.71	1.37669	-3.7087	-2.33201
15.8	1.34806	-3.69187	-2.34381
15.89	1.31986	-3.67497	-2.35512
15.98	1.29208	-3.65801	-2.36593
16.07	1.26472	-3.64097	-2.37625
16.16	1.23779	-3.62387	-2.38608
16.25	1.21126	-3.60669	-2.39543
16.34	1.18515	-3.58944	-2.4043
16.43	1.15944	-3.57213	-2.41268
16.52	1.13414	-3.55474	-2.4206
16.61	1.10924	-3.53728	-2.42803
16.7	1.08474	-3.51975	-2.435
16.79	1.06064	-3.50214	-2.4415
16.88	1.03692	-3.48446	-2.44754
16.97	1.01359	-3.46671	-2.45312
17.06	0.990651	-3.44889	-2.45824
17.15	0.968089	-3.431	-2.46291
17.24	0.945906	-3.41303	-2.46712
17.33	0.924096	-3.39499	-2.47089
17.42	0.902657	-3.37688	-2.47422
17.51	0.881586	-3.35869	-2.4771
17.6	0.860879	-3.34043	-2.47955
17.69	0.840533	-3.3221	-2.48157
17.78	0.820544	-3.30369	-2.48315
17.87	0.800908	-3.28521	-2.48431
17.96	0.781622	-3.26666	-2.48504
18.05	0.762683	-3.24804	-2.48536
18.14	0.744088	-3.22934	-2.48525
18.23	0.725832	-3.21057	-2.48474
18.32	0.707912	-3.19173	-2.48382
18.41	0.690325	-3.17282	-2.48249
18.5	0.673066	-3.15383	-2.48077
18.59	0.656134	-3.13478	-2.47864
18.68	0.639523	-3.11565	-2.47613
18.77	0.623231	-3.09645	-2.47322
18.86	0.607254	-3.07718	-2.46993
18.95	0.591588	-3.05785	-2.46626
19.04	0.57623	-3.03844	-2.46221
19.13	0.561175	-3.01896	-2.45779
19.22	0.546422	-2.99942	-2.45299
19.31	0.531965	-2.9798	-2.44784
19.4	0.517802	-2.96012	-2.44232
19.49	0.503928	-2.94038	-2.43645
19.58	0.49034	-2.92056	-2.43022
19.67	0.477035	-2.90069	-2.42365
19.76	0.464009	-2.88075	-2.41674
19.85	0.451258	-2.86074	-2.40948
19.94	0.438779	-2.84067	-2.40189
20.03	0.426568	-2.82054	-2.39397
20.12	0.414622	-2.80035	-2.38573
20.21	0.402936	-2.7801	-2.37716
20.3	0.391507	-2.75978	-2.36828
20.39	0.380332	-2.73942	-2.35908
20.48	0.369407	-2.71899	-2.34958
20.57	0.358729	-2.69851	-2.33978
20.66	0.348293	-2.67797	-2.32968
20.75	0.338097	-2.65738	-2.31928
20.84	0.328136	-2.63674	-2.3086
20.93	0.318408	-2.61604	-2.29763
21.02	0.308908	-2.5953	-2.28639
21.11	0.299633	-2.5745	-2.27487
21.2	0.290579	-2.55366	-2.26308
21.29	0.281743	-2.53278	-2.25103
21.38	0.273122	-2.51185	-2.23873
21.47	0.264712	-2.49088	-2.22616
21.56	0.256509	-2.46986	-2.21335
21.65	0.24851	-2.44881	-2.2003
21.74	0.240711	-2.42772	-2.18701
21.83	0.23311	-2.40659	-2.17348
21.92	0.225702	-2.38543	-2.15973
22.01	0.218484	-2.36423	-2.14575
22.1	0.211454	-2.34301	-2.13155
22.19	0.204606	-2.32175	-2.11715
22.28	0.197939	-2.30047	-2.10253
22.37	0.191448	-2.27917	-2.08772
22.46	0.185131	-2.25784	-2.07271
22.55	0.178984	-2.23649	-2.05751
22.64	0.173004	-2.21512	-2.04212
22.73	0.167188	-2.19374	-2.02655
22.82	0.161532	-2.17234	-2.01081
22.91	0.156033	-2.15093	-1.9949
23	0.150688	-2.12951	-1.97882
23.09	0.145495	-2.10808	-1.96259
23.18	0.140449	-2.08665	-1.9462
23.27	0.135548	-2.06521	-1.92967
23.36	0.130789	-2.04378	-1.91299
23.45	0.126169	-2.02235	-1.89619
23.54	0.121684	-2.00093	-1.87925
23.63	0.117332	-1.97952	-1.86219
23.72	0.11311	-1.95812	-1.84501
23.81	0.109015	-1.93673	-1.82772
23.9	0.105044	-1.91536	-1.81031
23.99	0.101194	-1.89401	-1.79281
24.08	0.0974632	-1.87267	-1.77521
24.17	0.0938478	-1.85137	-1.75752
24.26	0.0903453	-1.8301	-1.73975
24.35	0.0869531	-1.80886	-1.72191
24.44	0.0836684	-1.78766	-1.70399
24.53	0.0804888	-1.7665	-1.68601
24.62	0.0774116	-1.74538	-1.66796
24.71	0.0744343	-1.7243	-1.64987
24.8	0.0715544	-1.70327	-1.63172
24.89	0.0687695	-1.6823	-1.61353
24.98	0.0660773	-1.66138	-1.5953
25.07	0.0634753	-1.64051	-1.57704
25.16	0.0609609	-1.61971	-1.55875
25.25	0.0585316	-1.59898	-1.54045
25.34	0.0561854	-1.57831	-1.52213
25.43	0.0539199	-1.55772	-1.5038
25.52	0.0517329	-1.53721	-1.48548
25.61	0.0496224	-1.51678	-1.46716
25.7	0.0475862	-1.49643	-1.44884
25.79	0.0456224	-1.47616	-1.43054
25.88	0.0437288	-1.45598	-1.41226
25.97	0.0419035	-1.4359	-1.39399
26.06	0.0401446	-1.4159	-1.37576
26.15	0.0384498	-1.39601	-1.35756
26.24	0.0368171	-1.37622	-1.33941
26.33	0.0352447	-1.35654	-1.3213
26.42	0.0337307	-1.33697	-1.30324
26.51	0.0322735	-1.31752	-1.28524
26.6	0.0308714	-1.29817	-1.2673
26.69	0.0295227	-1.27895	-1.24943
26.78	0.0282257	-1.25985	-1.23162
26.87	0.0269788	-1.24087	-1.21389
26.96	0.0257806	-1.22201	-1.19623
27.05	0.0246295	-1.20328	-1.17865
27.14	0.0235237	-1.18469	-1.16117
27.23	0.0224614	-1.16623	-1.14377
27.32	0.0214414	-1.14791	-1.12647
27.41	0.0204622	-1.12974	-1.10928
27.5	0.0195226	-1.1117	-1.09218
27.59	0.0186211	-1.09381	-1.07519
27.68	0.0177566	-1.07607	-1.05832
27.77	0.0169278	-1.05848	-1.04155
27.86	0.0161335	-1.04104	-1.02491
27.95	0.0153726	-1.02375	-1.00838
28.04	0.0146438	-1.00661	-0.99197
28.13	0.013946	-0.989636	-0.97569
28.22	0.0132776	-0.972818	-0.959541
28.31	0.0126376	-0.956162	-0.943525
28.4	0.0120251	-0.93967	-0.927645
28.49	0.0114392	-0.923341	-0.911902
28.58	0.0108787	-0.907178	-0.896299
28.67	0.0103429	-0.891181	-0.880838
28.76	0.00983087	-0.875351	-0.86552
28.85	0.00934168	-0.85969	-0.850348
28.94	0.00887451	-0.844198	-0.835324
29.03	0.00842854	-0.828876	-0.820447
29.12	0.00800284	-0.813725	-0.805723
29.21	0.00759635	-0.798748	-0.791152
29.3	0.00720833	-0.783944	-0.776736
29.39	0.0068381	-0.769314	-0.762476
29.48	0.00648497	-0.754859	-0.748374
29.57	0.00614829	-0.740578	-0.73443
29.66	0.00582742	-0.726472	-0.720645
29.75	0.00552175	-0.712541	-0.70702
29.84	0.00523066	-0.698785	-0.693555
29.93	0.0049536	-0.685205	-0.680251
30.02	0.00468998	-0.671799	-0.667109
30.11	0.00443921	-0.658568	-0.654129
30.2	0.00420046	-0.645513	-0.641312
30.29	0.00397327	-0.632633	-0.628659
30.38	0.00375717	-0.619927	-0.61617
30.47	0.0035517	-0.607397	-0.603845
30.56	0.00335642	-0.59504	-0.591683
30.65	0.00317092	-0.582856	-0.579686
30.74	0.00299479	-0.570846	-0.567851
30.83	0.00282762	-0.559007	-0.55618
30.92	0.00266905	-0.54734	-0.544671
31.01	0.00251869	-0.535844	-0.533325
31.1	0.00237618	-0.524518	-0.522142
31.19	0.00224092	-0.513361	-0.51112
31.28	0.00211261	-0.502372	-0.50026
31.37	0.00199096	-0.491551	-0.48956
31.46	0.00187567	-0.480896	-0.47902
31.55	0.00176646	-0.470407	-0.46864
31.64	0.00166307	-0.460082	-0.458418
31.73	0.00156524	-0.44992	-0.448354
31.82	0.00147271	-0.43992	-0.438447
31.91	0.00138525	-0.430081	-0.428696
32	0.00130263	-0.420402	-0.419099
32.09	0.00122462	-0.410881	-0.409656
32.18	0.00115083	-0.401517	-0.400366
32.27	0.00108105	-0.392309	-0.391228
32.36	0.00101512	-0.383255	-0.38224
32.45	0.000952844	-0.374354	-0.373401
32.54	0.000894061	-0.365604	-0.36471
32.63	0.000838608	-0.357005	-0.356166
32.72	0.000786326	-0.348555	-0.347768
32.81	0.000737064	-0.340252	-0.339515
32.9	0.000690677	-0.332095	-0.331404
32.99	0.000647027	-0.324082	-0.323435
33.08	0.000605979	-0.316213	-0.315607
33.17	0.000567293	-0.308485	-0.307917
33.26	0.000530842	-0.300896	-0.300365
33.35	0.000496517	-0.293445	-0.292949
33.44	0.000464217	-0.286131	-0.285667
33.53	0.00043384	-0.278952	-0.278519
33.62	0.000405292	-0.271907	-0.271502
33.71	0.000378483	-0.264994	-0.264616
33.8	0.000353323	-0.258212	-0.257858
33.89	0.00032973	-0.251558	-0.251229
33.98	0.000307623	-0.245033	-0.244725
34.07	0.000286925	-0.238633	-0.238346
34.16	0.000267499	-0.232357	-0.23209
34.25	0.000249262	-0.226204	-0.225955
34.34	0.000232154	-0.220172	-0.21994
34.43	0.000216116	-0.21426	-0.214043
34.52	0.000201093	-0.208465	-0.208264
34.61	0.000187033	-0.202787	-0.2026
34.7	0.000173884	-0.197224	-0.19705
34.79	0.000161598	-0.191775	-0.191613
34.88	0.000150129	-0.186438	-0.186287
34.97	0.000139433	-0.181211	-0.181072
35.06	0.000129468	-0.176094	-0.175964
35.15	0.000120159	-0.171084	-0.170964
35.24	0.000111453	-0.16618	-0.166068
35.33	0.000103319	-0.16138	-0.161276
35.42	9.57253e-05	-0.156683	-0.156587
35.51	8.86429e-05	-0.152088	-0.151999
35.6	8.20437e-05	-0.147593	-0.147511
35.69	7.59007e-05	-0.143197	-0.143121
35.78	7.01886e-05	-0.138898	-0.138828
35.87	6.48829e-05	-0.134696	-0.134631
35.96	5.99606e-05	-0.130588	-0.130528
36.05	5.53996e-05	-0.126574	-0.126518
36.14	5.1162e-05	-0.122651	-0.1226
36.23	4.72156e-05	-0.118819	-0.118772
36.32	4.35442e-05	-0.115076	-0.115032
36.41	4.01323e-05	-0.111421	-0.111381
36.5	3.69649e-05	-0.107852	-0.107815
36.59	3.40279e-05	-0.104368	-0.104334
36.68	3.1308e-05	-0.100969	-0.100937
36.77	2.87924e-05	-0.0976518	-0.097623
36.86	2.64689e-05	-0.0944165	-0.09439
36.95	2.43261e-05	-0.0912615	-0.0912371
37.04	2.2353e-05	-0.0881855	-0.0881632
37.13	2.05315e-05	-0.0851872	-0.0851667
37.22	1.88427e-05	-0.0822651	-0.0822463
37.31	1.72787e-05	-0.0794181	-0.0794008
37.4	1.58323e-05	-0.076645	-0.0766291
37.49	1.44962e-05	-0.0739446	-0.0739301
37.58	1.32639e-05	-0.0713158	-0.0713025
37.67	1.21291e-05	-0.0687574	-0.0687453
37.76	1.10857e-05	-0.0662684	-0.0662573
37.85	1.0128e-05	-0.0638475	-0.0638374
37.94	9.25065e-06	-0.0614936	-0.0614844
38.03	8.4486e-06	-0.0592057	-0.0591972
38.12	7.71385e-06	-0.0569824	-0.0569747
38.21	7.03585e-06	-0.0548223	-0.0548153
38.3	6.41109e-06	-0.0527245	-0.0527181
38.39	5.8363e-06	-0.0506878	-0.0506819
38.48	5.30833e-06	-0.0487111	-0.0487058
38.57	4.82424e-06	-0.0467933	-0.0467885
38.66	4.38122e-06	-0.0449335	-0.0449291
38.75	3.97663e-06	-0.0431304	-0.0431264
38.84	3.60797e-06	-0.0413831	-0.0413795
38.93	3.27288e-06	-0.0396904	-0.0396872
39.02	2.96915e-06	-0.0380514	-0.0380484
39.11	2.6936e-06	-0.0364648	-0.0364621
39.2	2.44059e-06	-0.0349294	-0.0349269
39.29	2.2087e-06	-0.033444	-0.0334418
39.38	1.99655e-06	-0.0320078	-0.0320058
39.47	1.80287e-06	-0.0306197	-0.0306179
39.56	1.62644e-06	-0.0292786	-0.029277
39.65	1.46611e-06	-0.0279836	-0.0279821
39.74	1.3208e-06	-0.0267336	-0.0267322
39.83	1.1895e-06	-0.0255276	-0.0255264
39.92	1.07126e-06	-0.0243646	-0.0243635
40.01	9.65169e-07	-0.0232436	-0.0232426
40.1	8.70126e-07	-0.0221635	-0.0221627
40.19	7.83282e-07	-0.0211232	-0.0211225
40.28	7.04095e-07	-0.0201217	-0.020121
40.37	6.32056e-07	-0.019158	-0.0191574
40.46	5.66684e-07	-0.0182311	-0.0182306
40.55	5.07526e-07	-0.0173402	-0.0173397
40.64	4.54156e-07	-0.0164842	-0.0164838
40.73	4.06174e-07	-0.0156623	-0.0156619
40.82	3.63202e-07	-0.0148734	-0.0148731
40.91	3.24889e-07	-0.0141168	-0.0141165
41	2.90902e-07	-0.0133914	-0.0133911
41.09	2.6093e-07	-0.0126964	-0.0126962
41.18	2.33645e-07	-0.0120307	-0.0120304
41.27	2.08863e-07	-0.0113933	-0.0113931
41.36	1.86417e-07	-0.0107834	-0.0107832
41.45	1.66143e-07	-0.0102003	-0.0102001
41.54	1.47893e-07	-0.00964297	-0.00964282
41.63	1.31524e-07	-0.00911069	-0.00911056
41.72	1.16903e-07	-0.00860264	-0.00860252
41.81	1.03904e-07	-0.00811799	-0.00811789
41.9	9.24125e-08	-0.00765598	-0.00765588
41.99	8.23173e-08	-0.00721581	-0.00721573
42.08	7.35162e-08	-0.00679673	-0.00679666
42.17	6.55678e-08	-0.00639782	-0.00639775
42.26	5.83698e-08	-0.00601834	-0.00601828
42.35	5.18702e-08	-0.00565758	-0.00565753
42.44	4.60205e-08	-0.00531486	-0.00531481
42.53	4.0775e-08	-0.00498949	-0.00498945
42.62	3.60906e-08	-0.00468081	-0.00468078
42.71	3.19272e-08	-0.00438817	-0.00438814
42.8	2.8247e-08	-0.00411093	-0.0041109
42.89	2.50147e-08	-0.00384847	-0.00384845
42.98	2.21974e-08	-0.00360019	-0.00360017
43.07	1.97641e-08	-0.0033655	-0.00336548
43.16	1.75868e-08	-0.00314369	-0.00314367
43.25	1.56187e-08	-0.00293419	-0.00293417
43.34	1.38455e-08	-0.00273646	-0.00273645
43.43	1.22533e-08	-0.00255	-0.00254998
43.52	1.08295e-08	-0.00237429	-0.00237428
43.61	9.56193e-09	-0.00220885	-0.00220884
43.7	8.43936e-09	-0.00205321	-0.0020532
43.79	7.45124e-09	-0.0019069	-0.0019069
43.88	6.58767e-09	-0.0017695	-0.00176949
43.97	5.83942e-09	-0.00164055	-0.00164055
44.06	5.19787e-09	-0.00151966	-0.00151966
44.15	4.62904e-09	-0.00140634	-0.00140634
44.24	4.11473e-09	-0.00130017	-0.00130017
44.33	3.65118e-09	-0.00120079	-0.00120078
44.42	3.23485e-09	-0.00110785	-0.00110784
44.51	2.86241e-09	-0.00102101	-0.00102101
44.6	2.53074e-09	-0.000939967	-0.000939965
44.69	2.23691e-09	-0.000864396	-0.000864393
44.78	1.97818e-09	-0.000794002	-0.000794
44.87	1.75198e-09	-0.000728503	-0.000728501
44.96	1.55591e-09	-0.000667624	-0.000667623
45.05	1.38771e-09	-0.000611104	-0.000611103
45.14	1.23909e-09	-0.00055864	-0.000558638
45.23	1.10364e-09	-0.000509953	-0.000509951
45.32	9.80485e-10	-0.000464824	-0.000464823
45.41	8.6879e-10	-0.000423045	-0.000423044
45.5	7.67764e-10	-0.000384415	-0.000384414
45.59	6.76665e-10	-0.000348745	-0.000348745
45.68	5.94793e-10	-0.000315854	-0.000315854
45.77	5.21494e-10	-0.00028557	-0.000285569
45.86	4.5615e-10	-0.000257728	-0.000257727
45.95	3.98183e-10	-0.000232174	-0.000232173
46.04	3.47051e-10	-0.00020876	-0.00020876
46.13	3.01665e-10	-0.000187313	-0.000187313
46.22	2.60875e-10	-0.00016766	-0.00016766
46.31	2.24347e-10	-0.000149684	-0.000149684
46.4	1.91771e-10	-0.000133274	-0.000133273
46.49	1.62852e-10	-0.000118323	-0.000118322
46.58	1.37317e-10	-0.000104732	-0.000104732
46.67	1.14911e-10	-9.2408e-05	-9.24079e-05
46.76	9.53934e-11	-8.12623e-05	-8.12622e-05
46.85	7.85416e-11	-7.12117e-05	-7.12117e-05
46.94	6.41474e-11	-6.21781e-05	-6.2178e-05
47.03	5.20165e-11	-5.4088e-05	-5.40879e-05
47.12	4.1787e-11	-4.6852e-05	-4.68519e-05
47.21	3.29435e-11	-4.03666e-05	-4.03665e-05
47.3	2.53767e-11	-3.45767e-05	-3.45767e-05
47.39	1.8985e-11	-2.94308e-05	-2.94308e-05
47.48	1.36737e-11	-2.48805e-05	-2.48805e-05
47.57	9.35518e-12	-2.08806e-05	-2.08806e-05
47.66	5.9478e-12	-1.73888e-05	-1.73888e-05
47.75	3.37597e-12	-1.43657e-05	-1.43657e-05
47.84	1.56963e-12	-1.17745e-05	-1.17745e-05
47.93	4.64184e-13	-9.58107e-06	-9.58107e-06
48.02	-2.22045e-16	-7.75338e-06	-7.75338e-06
48.11	-2.22045e-16	-6.23818e-06	-6.23818e-06
48.2	-2.22045e-16	-4.92729e-06	-4.92729e-06
48.29	-2.22045e-16	-3.80456e-06	-3.80456e-06
48.38	-2.22045e-16	-2.85498e-06	-2.85498e-06
48.47	-2.22045e-16	-2.06456e-06	-2.06456e-06
48.56	-2.22045e-16	-1.42034e-06	-1.42034e-06
48.65	-2.22045e-16	-9.10255e-07	-9.10255e-07
48.74	-2.22045e-16	-5.23142e-07	-5.23142e-07
48.83	-2.22045e-16	-2.48656e-07	-2.48656e-07
48.92	-2.22045e-16	-7.72249e-08	-7.72249e-08
49.01	-2.22045e-16	0	-2.22045e-16
49.1	-2.22045e-16	0	-2.22045e-16
49.19	-2.22045e-16	0	-2.22045e-16
49.28	-2.22045e-16	0	-2.22045e-16
49.37	-2.22045e-16	0	-2.22045e-16
49.46	-2.22045e-16	0	-2.22045e-16
49.55	-2.22045e-16	0	-2.22045e-16
49.64	-2.22045e-16	0	-2.22045e-16
49.73	-2.22045e-16	0	-2.22045e-16
49.82	-2.22045e-16	0	-2.22045e-16
49.91	-2.22045e-16	0	-2.22045e-16
50	-2.22045e-16	0	-2.22045e-16
50.09	-2.22045e-16	0	-2.22045e-16
50.18	-2.22045e-16	0	-2.22045e-16
50.27	-2.22045e-16	0	-2.22045e-16
50.36	-2.22045e-16	0	-2.22045e-16
50.45	-2.22045e-16	0	-2.22045e-16
50.54	-2.22045e-16	0	-2.22045e-16
50.63	-2.22045e-16	0	-2.22045e-16
50.72	-2.22045e-16	0	-2.22045e-16
50.81	-2.22045e-16	0	-2.22045e-16
50.9	-2.22045e-16	0	-2.22045e-16
50.99	-2.22045e-16	0	-2.22045e-16
51.08	-2.22045e-16	0	-2.22045e-16
51.17	-2.22045e-16	0	-2.22045e-16
51.26	-2.22045e-16	0	-2.22045e-16
51.35	-2.22045e-16	0	-2.22045e-16
51.44	-2.22045e-16	0	-2.22045e-16
51.53	-2.22045e-16	0	-2.22045e-16
51.62	-2.22045e-16	0	-2.22045e-16
51.71	-2.22045e-16	0	-2.22045e-16
51.8	-2.22045e-16	0	-2.22045e-16
51.89	-2.22045e-16	0	-2.22045e-16
51.98	-2.22045e-16	0	-2.22045e-16
52.07	-2.22045e-16	0	-2.22045e-16
52.16	-2.22045e-16	0	-2.22045e-16
52.25	-2.22045e-16	0	-2.22045e-16
52.34	-2.22045e-16	0	-2.22045e-16
52.43	-2.22045e-16	0	-2.22045e-16
52.52	-2.22045e-16	0	-2.22045e-16
52.61	-2.22045e-16	0	-2.22045e-16
52.7	-2.22045e-16	0	-2.22045e-16
52.79	-2.22045e-16	0	-2.22045e-16
52.88	-2.22045e-16	0	-2.22045e-16
52.97	-2.22045e-16	0	-2.22045e-16
53.06	-2.22045e-16	0	-2.22045e-16
53.15	-2.22045e-16	0	-2.22045e-16
53.24	-2.22045e-16	0	-2.22045e-16
53.33	-2.22045e-16	0	-2.22045e-16
53.42	-2.22045e-16	0	-2.22045e-16
53.51	-2.22045e-16	0	-2.22045e-16
53.6	-2.22045e-16	0	-2.22045e-16
53.69	-2.22045e-16	0	-2.22045e-16
53.78	-2.22045e-16	0	-2.22045e-16
53.87	-2.22045e-16	0	-2.22045e-16
53.96	-2.22045e-16	0	-2.22045e-16
54.05	-2.22045e-16	0	-2.22045e-16
54.14	-2.22045e-16	0	-2.22045e-16
54.23	-2.22045e-16	0	-2.22045e-16
54.32	-2.22045e-16	0	-2.22045e-16
54.41	-2.22045e-16	0	-2.22045e-16
54.5	-2.22045e-16	0	-2.22045e-16
54.59	-2.22045e-16	0	-2.22045e-16
54.68	-2.22045e-16	0	-2.22045e-16
54.77	-2.22045e-16	0	-2.22045e-16
54.86	-2.22045e-16	0	-2.22045e-16
54.95	-2.22045e-16	0	-2.22045e-16
55.04	-2.22045e-16	0	-2.22045e-16
55.13	-2.22045e-16	0	-2.22045e-16
55.22	-2.22045e-16	0	-2.22045e-16
55.31	-2.22045e-16	0	-2.22045e-16
55.4	-2.22045e-16	0	-2.22045e-16
55.49	-2.22045e-16	0	-2.22045e-16
55.58	-2.22045e-16	0	-2.22045e-16
55.67	-2.22045e-16	0	-2.22045e-16
55.76	-2.22045e-16	0	-2.22045e-16
55.85	-2.22045e-16	0	-2.22045e-16
55.94	-2.22045e-16	0	-2.22045e-16
56.03	-2.22045e-16	0	-2.22045e-16
56.12	-2.22045e-16	0	-2.22045e-16
