# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-12.9433	-3.52098
5.09	9.28371	-12.8881	-3.60443
5.18	9.14818	-12.8345	-3.68629
5.27	9.01544	-12.7821	-3.76665
5.36	8.88526	-12.7309	-3.8456
5.45	8.75742	-12.6806	-3.9232
5.54	8.63175	-12.6313	-3.99953
5.63	8.50807	-12.5827	-4.07463
5.72	8.38626	-12.5348	-4.14855
5.81	8.26617	-12.4875	-4.22134
5.9	8.14769	-12.4407	-4.29304
5.99	8.03073	-12.3944	-4.36369
6.08	7.91597	-12.3492	-4.43322
6.17	7.80336	-12.305	-4.50167
6.26	7.69273	-12.2618	-4.56907
6.35	7.58397	-12.2194	-4.63546
6.44	7.47694	-12.1778	-4.70087
6.53	7.37155	-12.1369	-4.76532
6.62	7.2677	-12.0965	-4.82884
6.71	7.16531	-12.0568	-4.89146
6.8	7.0643	-12.0175	-4.95319
6.89	6.9646	-11.9787	-5.01405
6.98	6.86615	-11.9402	-5.07406
7.07	6.76922	-11.9024	-5.1332
7.16	6.67383	-11.8653	-5.1915
7.25	6.57988	-11.8288	-5.24895
7.34	6.48731	-11.7929	-5.30559
7.43	6.39605	-11.7575	-5.36142
7.52	6.30604	-11.7225	-5.41645
7.61	6.21723	-11.6879	-5.47069
7.7	6.12957	-11.6537	-5.52415
7.79	6.04301	-11.6198	-5.57684
7.88	5.95751	-11.5863	-5.62877
7.97	5.87303	-11.553	-5.67994
8.06	5.78968	-11.52	-5.73035
8.15	5.70746	-11.4875	-5.78002
8.24	5.62634	-11.4553	-5.82894
8.33	5.54628	-11.4234	-5.87712
8.42	5.46724	-11.3918	-5.92456
8.51	5.38918	-11.3605	-5.97128
8.6	5.31208	-11.3293	-6.01727
8.69	5.2359	-11.2984	-6.06253
8.78	5.16062	-11.2677	-6.10708
8.87	5.08621	-11.2371	-6.15092
8.96	5.01266	-11.2067	-6.19404
9.05	4.93998	-11.1764	-6.23645
