# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
5	9.42232	-9.75332	-0.331005
5.09	9.28371	-9.71262	-0.428912
5.18	9.14818	-9.67293	-0.524758
5.27	9.01544	-9.63412	-0.618681
5.36	8.88526	-9.59607	-0.710806
5.45	8.75742	-9.55866	-0.801239
5.54	8.63175	-9.52183	-0.890078
5.63	8.50807	-9.48548	-0.977407
5.72	8.38626	-9.44956	-1.0633
5.81	8.26617	-9.414	-1.14784
5.9	8.14769	-9.37876	-1.23107
5.99	8.03073	-9.34378	-1.31305
6.08	7.91597	-9.30958	-1.39361
6.17	7.80336	-9.27615	-1.47279
6.26	7.69273	-9.2434	-1.55067
6.35	7.58397	-9.21126	-1.6273
6.44	7.47694	-9.17967	-1.70273
6.53	7.37155	-9.14856	-1.77701
6.62	7.2677	-9.11788	-1.85018
6.71	7.16531	-9.0876	-1.92229
6.8	7.0643	-9.05766	-1.99336
6.89	6.9646	-9.02803	-2.06343
6.98	6.86615	-8.99867	-2.13252
7.07	6.76922	-8.96983	-2.2006
7.16	6.67383	-8.94151	-2.26768
7.25	6.57988	-8.91367	-2.33379
7.34	6.48731	-8.88627	-2.39896
7.43	6.39605	-8.85926	-2.46321
7.52	6.30604	-8.8326	-2.52656
7.61	6.21723	-8.80627	-2.58904
7.7	6.12957	-8.78022	-2.65066
7.79	6.04301	-8.75444	-2.71143
7.88	5.95751	-8.7289	-2.77138
7.97	5.87303	-8.70356	-2.83052
8.06	5.78968	-8.67852	-2.88884
8.15	5.70746	-8.65382	-2.94635
8.24	5.62634	-8.62941	-3.00306
8.33	5.54628	-8.60527	-3.05898
8.42	5.46724	-8.58137	-3.11413
8.51	5.38918	-8.55769	-3.16851
8.6	5.31208	-8.53421	-3.22214
8.69	5.2359	-8.51091	-3.27501
8.78	5.16062	-8.48776	-3.32715
8.87	5.08621	-8.46476	-3.37855
8.96	5.01266	-8.44188	-3.42922
9.05	4.93998	-8.41915	-3.47917
9.14	4.8682	-8.3966	-3.5284
9.23	4.79729	-8.3742	-3.57691
9.32	4.72723	-8.35194	-3.62471
9.41	4.658	-8.3298	-3.6718
9.5	4.58957	-8.30776	-3.71819
9.59	4.52194	-8.28582	-3.76389
9.68	4.45507	-8.26396	-3.80889
9.77	4.38897	-8.24217	-3.8532
9.86	4.32361	-8.22044	-3.89683
9.95	4.25897	-8.19875	-3.93978
10.04	4.19507	-8.17712	-3.98205
10.13	4.13192	-8.15555	-4.02364
10.22	4.06949	-8.13404	-4.06455
10.31	4.00777	-8.11257	-4.1048
10.4	3.94676	-8.09114	-4.14437
10.49	3.88645	-8.06973	-4.18328
10.58	3.82681	-8.04834	-4.22153
10.67	3.76785	-8.02696	-4.25911
10.76	3.70955	-8.00558	-4.29604
10.85	3.6519	-7.98421	-4.33231
10.94	3.59489	-7.96282	-4.36792
11.03	3.53853	-7.94142	-4.40288
11.12	3.48282	-7.92001	-4.4372
11.21	3.42774	-7.8986	-4.47086
11.3	3.37329	-7.87717	-4.50388
11.39	3.31946	-7.85571	-4.53625
11.48	3.26625	-7.83423	-4.56798
11.57	3.21365	-7.81272	-4.59906
11.66	3.16165	-7.79116	-4.62951
11.75	3.11025	-7.76957	-4.65932
11.84	3.05943	-7.74793	-4.6885
11.93	3.0092	-7.72625	-4.71704
12.02	2.95956	-7.70451	-4.74495
12.11	2.91049	-7.68272	-4.77223
12.2	2.862	-7.66088	-4.79889
12.29	2.81408	-7.63899	-4.82491
12.38	2.76672	-7.61703	-4.85031
12.47	2.71993	-7.59502	-4.87509
12.56	2.67369	-7.57293	-4.89925
12.65	2.628	-7.55078	-4.92278
12.74	2.58286	-7.52856	-4.9457
12.83	2.53826	-7.50626	-4.968
12.92	2.4942	-7.48389	-4.98969
13.01	2.45068	-7.46144	-5.01077
13.1	2.40768	-7.43891	-5.03123
13.19	2.36522	-7.41631	-5.05108
13.28	2.32328	-7.39362	-5.07033
13.37	2.28187	-7.37084	-5.08898
13.46	2.24097	-7.34799	-5.10701
13.55	2.20059	-7.32504	-5.12445
13.64	2.16071	-7.302	-5.14129
13.73	2.12135	-7.27887	-5.15753
13.82	2.08248	-7.25565	-5.17317
13.91	2.04412	-7.23233	-5.18821
14	2.00625	-7.20892	-5.20267
14.09	1.96887	-7.18541	-5.21653
14.18	1.93199	-7.1618	-5.22981
14.27	1.89559	-7.13809	-5.2425
14.36	1.85967	-7.11427	-5.2546
14.45	1.82424	-7.09036	-5.26612
14.54	1.78928	-7.06634	-5.27706
14.63	1.75479	-7.04221	-5.28742
14.72	1.72078	-7.01798	-5.2972
14.81	1.68723	-6.99364	-5.30641
14.9	1.65414	-6.96919	-5.31505
14.99	1.62152	-6.94463	-5.32311
15.08	1.58935	-6.91996	-5.33061
15.17	1.55763	-6.89517	-5.33754
15.26	1.52637	-6.87027	-5.34391
15.35	1.49555	-6.84526	-5.34971
15.44	1.46518	-6.82013	-5.35495
15.53	1.43525	-6.79488	-5.35964
15.62	1.40575	-6.76952	-5.36377
15.71	1.37669	-6.74403	-5.36734
15.8	1.34806	-6.71843	-5.37037
15.89	1.31986	-6.6927	-5.37285
15.98	1.29208	-6.66686	-5.37478
16.07	1.26472	-6.64089	-5.37616
16.16	1.23779	-6.61479	-5.37701
16.25	1.21126	-6.58857	-5.37731
16.34	1.18515	-6.56223	-5.37708
16.43	1.15944	-6.53576	-5.37631
16.52	1.13414	-6.50916	-5.37502
16.61	1.10924	-6.48243	-5.37319
16.7	1.08474	-6.45558	-5.37083
16.79	1.06064	-6.42859	-5.36796
16.88	1.03692	-6.40148	-5.36456
16.97	1.01359	-6.37423	-5.36064
17.06	0.990651	-6.34685	-5.3562
17.15	0.968089	-6.31934	-5.35125
17.24	0.945906	-6.2917	-5.34579
17.33	0.924096	-6.26392	-5.33983
17.42	0.902657	-6.23601	-5.33335
17.51	0.881586	-6.20796	-5.32638
17.6	0.860879	-6.17978	-5.3189
17.69	0.840533	-6.15146	-5.31093
17.78	0.820544	-6.12301	-5.30246
17.87	0.800908	-6.09441	-5.29351
17.96	0.781622	-6.06568	-5.28406
18.05	0.762683	-6.03682	-5.27413
18.14	0.744088	-6.00781	-5.26372
